stop_id,hdbscan_cluster
MTA_500002,0
MTA_500004,0
MTA_500007,0
MTA_500008,0
MTA_500009,0
MTA_500010,0
MTA_500011,0
MTA_500012,0
MTA_500013,0
MTA_500014,0
MTA_500017,0
MTA_500018,0
MTA_500019,0
MTA_500022,0
MTA_500023,0
MTA_500024,0
MTA_500025,0
MTA_500026,0
MTA_500027,0
MTA_500028,0
MTA_500029,0
MTA_500030,0
MTA_500031,0
MTA_500032,0
MTA_500033,0
MTA_500034,0
MTA_500035,0
MTA_500036,0
MTA_500037,0
MTA_500038,0
MTA_500039,0
MTA_500040,0
MTA_500041,0
MTA_500042,-1
MTA_500043,-1
MTA_500044,-1
MTA_500045,-1
MTA_500048,0
MTA_500049,0
MTA_500050,0
MTA_500051,0
MTA_500052,0
MTA_500053,0
MTA_500054,0
MTA_500055,0
MTA_500056,-1
MTA_500057,-1
MTA_500058,-1
MTA_500059,-1
MTA_500061,-1
MTA_500062,0
MTA_500063,0
MTA_500064,0
MTA_500065,0
MTA_500066,0
MTA_500069,0
MTA_500070,0
MTA_500071,0
MTA_500072,0
MTA_500073,0
MTA_500074,0
MTA_500078,0
MTA_500079,0
MTA_500080,0
MTA_500081,0
MTA_500082,0
MTA_500197,0
MTA_501414,0
MTA_501419,0
MTA_502115,0
MTA_503195,0
MTA_503212,0
MTA_503272,0
MTA_503753,-1
MTA_503965,0
MTA_503978,0
MTA_503984,0
MTA_504472,0
MTA_505201,0
MTA_505233,0
MTA_505284,0
MTA_804052,0
MTA_804087,-1
MTA_500002,0
MTA_500003,0
MTA_500004,0
MTA_500008,0
MTA_500009,0
MTA_500010,0
MTA_500081,0
MTA_500082,0
MTA_500095,0
MTA_500099,0
MTA_500100,0
MTA_500101,0
MTA_500102,0
MTA_500103,0
MTA_500104,0
MTA_500105,0
MTA_500109,0
MTA_500110,0
MTA_500111,0
MTA_500112,0
MTA_500113,0
MTA_500114,0
MTA_500115,0
MTA_500116,0
MTA_500118,0
MTA_500120,0
MTA_500121,-1
MTA_500123,-1
MTA_500124,-1
MTA_500125,0
MTA_500126,0
MTA_500127,0
MTA_500128,0
MTA_500130,0
MTA_500131,0
MTA_500132,0
MTA_500133,0
MTA_500134,0
MTA_500135,0
MTA_500136,0
MTA_500137,-1
MTA_500138,-1
MTA_500139,0
MTA_500140,0
MTA_500141,0
MTA_500142,0
MTA_500143,0
MTA_500145,0
MTA_500146,0
MTA_500147,0
MTA_500197,0
MTA_501318,0
MTA_501414,0
MTA_501419,0
MTA_503195,0
MTA_503839,0
MTA_503985,-1
MTA_503986,0
MTA_505068,0
MTA_505072,0
MTA_505131,0
MTA_505233,0
MTA_505284,0
MTA_505316,-1
MTA_804052,0
MTA_904002,-1
MTA_904250,-1
MTA_500002,0
MTA_500003,0
MTA_500004,0
MTA_500008,0
MTA_500009,0
MTA_500010,0
MTA_500081,0
MTA_500082,0
MTA_500099,0
MTA_500100,0
MTA_500101,0
MTA_500145,0
MTA_500146,0
MTA_500147,0
MTA_500157,-1
MTA_500158,-1
MTA_500159,-1
MTA_500161,0
MTA_500163,0
MTA_500164,0
MTA_500165,0
MTA_500166,0
MTA_500167,0
MTA_500168,0
MTA_500169,0
MTA_500170,0
MTA_500171,0
MTA_500182,0
MTA_500183,0
MTA_500184,0
MTA_500187,0
MTA_500197,0
MTA_500209,0
MTA_500216,0
MTA_500220,0
MTA_500221,0
MTA_500222,0
MTA_500231,0
MTA_500235,0
MTA_500236,0
MTA_500237,0
MTA_500238,0
MTA_500239,0
MTA_500241,0
MTA_500242,0
MTA_500243,0
MTA_500244,0
MTA_500245,-1
MTA_500246,-1
MTA_500247,-1
MTA_501414,0
MTA_501419,0
MTA_503195,0
MTA_503676,0
MTA_503696,-1
MTA_503697,-1
MTA_503698,-1
MTA_503700,-1
MTA_503701,-1
MTA_503702,-1
MTA_503705,-1
MTA_503756,0
MTA_503757,0
MTA_503758,0
MTA_503759,0
MTA_503760,0
MTA_503761,0
MTA_503763,0
MTA_503764,0
MTA_503770,0
MTA_503771,0
MTA_503772,0
MTA_503774,-1
MTA_503779,0
MTA_503784,0
MTA_503793,-1
MTA_503802,-1
MTA_503803,-1
MTA_503804,-1
MTA_503805,-1
MTA_503806,-1
MTA_503890,0
MTA_503913,0
MTA_503996,-1
MTA_503997,-1
MTA_503998,-1
MTA_503999,-1
MTA_504009,0
MTA_504019,-1
MTA_504069,0
MTA_504441,-1
MTA_504456,0
MTA_504457,0
MTA_504459,0
MTA_504460,0
MTA_504471,0
MTA_504486,0
MTA_504538,0
MTA_504539,0
MTA_505068,0
MTA_505233,0
MTA_505284,0
MTA_550285,-1
MTA_804052,0
MTA_904251,-1
MTA_904253,-1
MTA_904254,-1
MTA_904982,-1
MTA_500340,0
MTA_500367,0
MTA_500368,0
MTA_500369,0
MTA_500370,0
MTA_500371,0
MTA_500372,0
MTA_500374,0
MTA_500375,0
MTA_500376,0
MTA_500377,0
MTA_500378,0
MTA_500380,0
MTA_500382,0
MTA_500384,0
MTA_500385,0
MTA_500386,0
MTA_500387,0
MTA_500388,0
MTA_500389,0
MTA_500390,0
MTA_500391,0
MTA_500392,0
MTA_500393,0
MTA_500394,0
MTA_500395,0
MTA_500396,0
MTA_500397,0
MTA_500398,0
MTA_500401,0
MTA_500403,0
MTA_500404,0
MTA_500406,0
MTA_500407,0
MTA_500408,0
MTA_500410,0
MTA_500411,0
MTA_500412,0
MTA_500413,0
MTA_500414,0
MTA_500415,0
MTA_500416,0
MTA_500417,0
MTA_500418,0
MTA_500419,0
MTA_500420,0
MTA_500421,0
MTA_500422,0
MTA_500424,0
MTA_500428,0
MTA_500429,0
MTA_500430,0
MTA_500431,0
MTA_500433,0
MTA_500607,0
MTA_503172,0
MTA_503568,-1
MTA_503622,0
MTA_503768,0
MTA_503791,0
MTA_503936,0
MTA_503967,0
MTA_503968,0
MTA_504008,0
MTA_504037,0
MTA_504461,0
MTA_504462,0
MTA_504470,0
MTA_504532,0
MTA_904026,-1
MTA_500340,0
MTA_500367,0
MTA_500368,0
MTA_500369,0
MTA_500370,0
MTA_500371,0
MTA_500372,0
MTA_500428,0
MTA_500429,0
MTA_500430,0
MTA_500431,0
MTA_500433,0
MTA_500451,0
MTA_500452,0
MTA_500453,0
MTA_500454,0
MTA_500507,0
MTA_500508,0
MTA_500509,0
MTA_500510,0
MTA_500511,0
MTA_500512,0
MTA_500541,0
MTA_500543,0
MTA_500544,0
MTA_500545,0
MTA_500547,0
MTA_500548,0
MTA_500549,0
MTA_500550,0
MTA_500551,0
MTA_500552,0
MTA_500553,0
MTA_500554,0
MTA_500555,0
MTA_500556,0
MTA_500557,0
MTA_500559,0
MTA_500560,0
MTA_500561,0
MTA_500562,0
MTA_500563,0
MTA_500564,0
MTA_500565,0
MTA_500566,0
MTA_500567,0
MTA_500568,0
MTA_500571,0
MTA_500572,0
MTA_500573,0
MTA_500575,0
MTA_500576,0
MTA_500578,0
MTA_500579,0
MTA_500580,0
MTA_500581,0
MTA_500582,0
MTA_500583,0
MTA_500584,0
MTA_500585,0
MTA_500586,0
MTA_500587,0
MTA_500588,0
MTA_500589,0
MTA_500590,0
MTA_500591,0
MTA_500593,0
MTA_500594,0
MTA_500607,0
MTA_503100,0
MTA_503105,-1
MTA_503110,0
MTA_503127,0
MTA_503172,0
MTA_503564,0
MTA_503622,0
MTA_503827,0
MTA_503937,0
MTA_503967,0
MTA_504008,0
MTA_504091,0
MTA_504442,0
MTA_504443,0
MTA_504462,0
MTA_504463,0
MTA_504467,0
MTA_505322,0
MTA_553021,0
MTA_804053,-1
MTA_500851,1
MTA_500852,1
MTA_500855,1
MTA_500856,1
MTA_500858,1
MTA_500859,1
MTA_500861,1
MTA_500862,1
MTA_500863,1
MTA_500864,1
MTA_500866,1
MTA_500868,1
MTA_500869,1
MTA_500871,1
MTA_500872,1
MTA_500873,1
MTA_500874,1
MTA_500875,1
MTA_500876,1
MTA_500877,1
MTA_500878,1
MTA_500879,1
MTA_500880,1
MTA_500881,1
MTA_500882,1
MTA_500883,-1
MTA_500885,-1
MTA_500887,1
MTA_500889,1
MTA_500890,1
MTA_500892,1
MTA_500893,1
MTA_500895,1
MTA_500896,1
MTA_500899,-1
MTA_500900,-1
MTA_500901,-1
MTA_500902,1
MTA_500903,1
MTA_500904,1
MTA_500905,1
MTA_500906,1
MTA_500907,1
MTA_500908,1
MTA_500909,1
MTA_500910,1
MTA_500911,1
MTA_500912,1
MTA_500913,1
MTA_500915,1
MTA_500916,1
MTA_500917,1
MTA_500919,1
MTA_500920,1
MTA_500922,1
MTA_500923,1
MTA_500925,1
MTA_500926,1
MTA_500929,1
MTA_500930,1
MTA_500931,1
MTA_503259,-1
MTA_503573,-1
MTA_503609,-1
MTA_504432,-1
MTA_504992,1
MTA_505048,1
MTA_904016,1
MTA_904946,1
MTA_500863,1
MTA_500864,1
MTA_500865,1
MTA_500866,1
MTA_500867,1
MTA_500868,1
MTA_500869,1
MTA_500870,1
MTA_500871,1
MTA_500872,1
MTA_500873,1
MTA_500874,1
MTA_500875,1
MTA_500876,1
MTA_500908,1
MTA_500909,1
MTA_500910,1
MTA_500911,1
MTA_500912,1
MTA_500913,1
MTA_500914,1
MTA_500915,1
MTA_500916,1
MTA_500917,1
MTA_500918,1
MTA_500919,1
MTA_500920,1
MTA_500921,1
MTA_500996,1
MTA_500997,1
MTA_500999,1
MTA_501000,1
MTA_501001,1
MTA_501004,1
MTA_501005,1
MTA_501007,1
MTA_501008,1
MTA_501023,1
MTA_501024,1
MTA_501025,1
MTA_501026,1
MTA_501027,1
MTA_501030,1
MTA_501031,1
MTA_501032,1
MTA_501033,1
MTA_501035,1
MTA_501037,1
MTA_501038,1
MTA_501039,1
MTA_501040,-1
MTA_501041,-1
MTA_501044,-1
MTA_501045,-1
MTA_501046,1
MTA_501047,1
MTA_501048,1
MTA_501049,1
MTA_501050,1
MTA_501051,1
MTA_501052,1
MTA_501053,1
MTA_501054,1
MTA_501056,1
MTA_501057,1
MTA_501058,1
MTA_501059,1
MTA_501060,1
MTA_501075,1
MTA_501076,1
MTA_501077,1
MTA_501078,1
MTA_501079,1
MTA_501080,1
MTA_501081,1
MTA_501082,1
MTA_501083,1
MTA_501084,1
MTA_501085,1
MTA_501086,1
MTA_501087,1
MTA_501719,1
MTA_503150,1
MTA_503255,1
MTA_503274,1
MTA_504429,1
MTA_504445,-1
MTA_504476,1
MTA_505121,1
MTA_505293,1
MTA_904021,-1
MTA_904022,1
MTA_904023,1
MTA_500994,1
MTA_501093,1
MTA_501094,1
MTA_501095,1
MTA_501096,1
MTA_501097,1
MTA_501098,1
MTA_501135,1
MTA_501136,1
MTA_501137,1
MTA_501138,1
MTA_501139,1
MTA_501140,1
MTA_501141,1
MTA_502030,0
MTA_502031,0
MTA_502032,0
MTA_502137,0
MTA_502138,0
MTA_502139,0
MTA_502158,0
MTA_502159,0
MTA_502163,-1
MTA_502164,-1
MTA_502165,1
MTA_502166,1
MTA_502168,-1
MTA_502169,1
MTA_502171,1
MTA_502172,1
MTA_502173,1
MTA_502174,1
MTA_502175,1
MTA_502179,1
MTA_502180,1
MTA_502181,1
MTA_502182,1
MTA_502183,1
MTA_502184,1
MTA_502185,1
MTA_502246,1
MTA_502254,1
MTA_502257,1
MTA_502258,1
MTA_502259,1
MTA_502260,1
MTA_502261,1
MTA_502263,1
MTA_502264,1
MTA_502265,1
MTA_502267,1
MTA_502268,1
MTA_502271,1
MTA_502272,1
MTA_502273,1
MTA_502274,1
MTA_502275,1
MTA_502276,-1
MTA_502277,-1
MTA_502278,0
MTA_502279,0
MTA_502280,0
MTA_502281,0
MTA_503075,0
MTA_503550,1
MTA_503565,1
MTA_503618,0
MTA_503778,1
MTA_503933,0
MTA_503961,1
MTA_503964,0
MTA_503980,0
MTA_504004,0
MTA_504557,0
MTA_504559,0
MTA_504980,0
MTA_504981,0
MTA_504985,0
MTA_504993,1
MTA_504998,0
MTA_504999,0
MTA_505000,-1
MTA_505002,0
MTA_505003,0
MTA_505004,1
MTA_505006,0
MTA_505007,0
MTA_505008,-1
MTA_505009,-1
MTA_505010,0
MTA_505011,0
MTA_505013,1
MTA_505014,1
MTA_505015,1
MTA_505016,1
MTA_505017,1
MTA_505018,1
MTA_505019,1
MTA_505020,1
MTA_505021,1
MTA_505022,1
MTA_505023,1
MTA_505024,1
MTA_505025,1
MTA_505026,1
MTA_505027,1
MTA_505028,1
MTA_505029,1
MTA_505031,1
MTA_505032,0
MTA_505033,-1
MTA_505092,1
MTA_505174,0
MTA_505175,0
MTA_804061,0
MTA_904012,1
MTA_904079,1
MTA_904231,0
MTA_904232,1
MTA_500994,1
MTA_501093,1
MTA_501094,1
MTA_501095,1
MTA_501096,1
MTA_501097,1
MTA_501098,1
MTA_501135,1
MTA_501136,1
MTA_501137,1
MTA_501138,1
MTA_501139,1
MTA_501140,1
MTA_501141,1
MTA_502030,0
MTA_502031,0
MTA_502032,0
MTA_502137,0
MTA_502138,0
MTA_502139,0
MTA_502158,0
MTA_502159,0
MTA_502163,-1
MTA_502164,-1
MTA_502165,1
MTA_502166,1
MTA_502168,-1
MTA_502169,1
MTA_502171,1
MTA_502172,1
MTA_502173,1
MTA_502174,1
MTA_502175,1
MTA_502179,1
MTA_502180,1
MTA_502181,1
MTA_502182,1
MTA_502183,1
MTA_502184,1
MTA_502185,1
MTA_502241,1
MTA_502246,1
MTA_502254,1
MTA_502257,1
MTA_502258,1
MTA_502259,1
MTA_502260,1
MTA_502261,1
MTA_502263,1
MTA_502264,1
MTA_502265,1
MTA_502267,1
MTA_502268,1
MTA_502271,1
MTA_502272,1
MTA_502273,1
MTA_502274,1
MTA_502275,1
MTA_502276,-1
MTA_502277,-1
MTA_502278,0
MTA_502279,0
MTA_502280,0
MTA_502281,0
MTA_502434,1
MTA_502454,1
MTA_502459,1
MTA_502460,1
MTA_502462,1
MTA_502464,1
MTA_502465,1
MTA_502466,1
MTA_502467,1
MTA_502471,1
MTA_503075,0
MTA_503550,1
MTA_503551,1
MTA_503552,1
MTA_503565,1
MTA_503618,0
MTA_503778,1
MTA_503933,0
MTA_503961,1
MTA_503964,0
MTA_503980,0
MTA_504004,0
MTA_504557,0
MTA_504559,0
MTA_504980,0
MTA_504981,0
MTA_504985,0
MTA_504993,1
MTA_504998,0
MTA_504999,0
MTA_505000,-1
MTA_505002,0
MTA_505003,0
MTA_505004,1
MTA_505006,0
MTA_505007,0
MTA_505008,-1
MTA_505009,-1
MTA_505010,0
MTA_505011,0
MTA_505021,1
MTA_505031,1
MTA_505032,0
MTA_505033,-1
MTA_505037,1
MTA_505038,1
MTA_505039,1
MTA_505040,1
MTA_505041,1
MTA_505042,1
MTA_505043,1
MTA_505044,1
MTA_505045,1
MTA_505095,1
MTA_505174,0
MTA_505175,0
MTA_804024,1
MTA_804061,0
MTA_904079,1
MTA_904231,0
MTA_904232,1
MTA_500027,0
MTA_500028,0
MTA_500029,0
MTA_500030,0
MTA_500031,0
MTA_500032,0
MTA_500033,0
MTA_500034,0
MTA_500048,0
MTA_500049,0
MTA_500050,0
MTA_500051,0
MTA_500052,0
MTA_500053,0
MTA_500054,0
MTA_500055,0
MTA_500119,0
MTA_500126,0
MTA_500127,0
MTA_500290,0
MTA_500291,0
MTA_500293,0
MTA_500294,0
MTA_500296,0
MTA_500297,0
MTA_500304,0
MTA_500305,0
MTA_500309,0
MTA_500312,0
MTA_500313,0
MTA_501060,1
MTA_501361,1
MTA_501362,1
MTA_501363,1
MTA_501364,1
MTA_501365,1
MTA_501369,1
MTA_501370,1
MTA_501371,1
MTA_501372,1
MTA_501373,1
MTA_501374,1
MTA_501534,-1
MTA_501535,-1
MTA_501536,-1
MTA_501537,-1
MTA_501538,-1
MTA_501539,1
MTA_501540,1
MTA_501541,1
MTA_501542,1
MTA_501543,1
MTA_501544,1
MTA_501560,1
MTA_501561,1
MTA_501562,1
MTA_501563,1
MTA_501564,1
MTA_501565,1
MTA_501566,1
MTA_501568,-1
MTA_501569,-1
MTA_501570,-1
MTA_501571,-1
MTA_501572,-1
MTA_501590,-1
MTA_501591,-1
MTA_501592,-1
MTA_501593,-1
MTA_501605,1
MTA_501606,1
MTA_501611,1
MTA_501612,1
MTA_501613,1
MTA_501617,1
MTA_501618,1
MTA_501619,1
MTA_501620,1
MTA_501621,1
MTA_501622,1
MTA_501623,1
MTA_501624,1
MTA_501625,1
MTA_501626,1
MTA_501627,-1
MTA_501628,-1
MTA_501629,-1
MTA_501630,0
MTA_501631,-1
MTA_501632,0
MTA_501633,0
MTA_501634,0
MTA_501635,0
MTA_501654,0
MTA_501655,0
MTA_501656,0
MTA_501657,0
MTA_501658,-1
MTA_501659,-1
MTA_501660,-1
MTA_501661,-1
MTA_501662,1
MTA_501663,1
MTA_501664,1
MTA_501665,1
MTA_501666,1
MTA_501667,1
MTA_501668,1
MTA_501669,1
MTA_501670,1
MTA_501671,1
MTA_501672,1
MTA_501673,1
MTA_501674,1
MTA_501675,1
MTA_501679,1
MTA_501680,1
MTA_501681,1
MTA_501682,1
MTA_501684,1
MTA_501698,-1
MTA_501699,-1
MTA_502102,0
MTA_502256,1
MTA_502838,0
MTA_503566,1
MTA_504034,-1
MTA_504053,1
MTA_504428,1
MTA_504444,1
MTA_505065,1
MTA_505133,0
MTA_505134,0
MTA_505135,0
MTA_505136,0
MTA_505137,0
MTA_505138,0
MTA_505139,0
MTA_505140,0
MTA_505141,0
MTA_505143,0
MTA_505153,0
MTA_505154,0
MTA_505172,1
MTA_505173,1
MTA_505227,1
MTA_505327,-1
MTA_804026,1
MTA_804027,1
MTA_904098,0
MTA_904298,1
MTA_904299,1
MTA_904972,0
MTA_500996,1
MTA_500997,1
MTA_500999,1
MTA_501000,1
MTA_501001,1
MTA_501004,1
MTA_501005,1
MTA_501077,1
MTA_501078,1
MTA_501079,1
MTA_501080,1
MTA_501081,1
MTA_501082,1
MTA_501083,1
MTA_501084,1
MTA_501085,1
MTA_501086,1
MTA_501087,1
MTA_501719,1
MTA_501722,1
MTA_501723,1
MTA_501724,1
MTA_501725,1
MTA_501726,1
MTA_501727,1
MTA_501728,1
MTA_501730,1
MTA_501731,1
MTA_501732,1
MTA_501733,1
MTA_501735,1
MTA_501736,1
MTA_501737,1
MTA_501739,1
MTA_501741,1
MTA_501742,1
MTA_501743,1
MTA_501744,1
MTA_501750,1
MTA_501754,1
MTA_501755,1
MTA_501756,1
MTA_501757,1
MTA_501758,1
MTA_501759,1
MTA_501760,1
MTA_501761,1
MTA_501762,1
MTA_501763,1
MTA_501764,1
MTA_501765,1
MTA_501766,1
MTA_501767,1
MTA_503077,1
MTA_503147,1
MTA_503148,1
MTA_503149,1
MTA_503150,1
MTA_503248,1
MTA_503274,1
MTA_503585,1
MTA_503720,1
MTA_503721,1
MTA_503828,1
MTA_503921,1
MTA_504446,1
MTA_504447,1
MTA_504482,1
MTA_504487,1
MTA_505053,1
MTA_505121,1
MTA_505293,1
MTA_904019,1
MTA_500087,0
MTA_501341,0
MTA_501342,0
MTA_501343,0
MTA_501395,0
MTA_501396,0
MTA_501422,0
MTA_501424,0
MTA_501426,0
MTA_501427,0
MTA_501428,-1
MTA_501430,0
MTA_501431,0
MTA_501433,0
MTA_501434,0
MTA_501435,0
MTA_501436,0
MTA_501437,0
MTA_501438,0
MTA_501439,0
MTA_501441,0
MTA_501444,0
MTA_501445,-1
MTA_501447,-1
MTA_501448,-1
MTA_501449,-1
MTA_501450,-1
MTA_501451,-1
MTA_501452,1
MTA_501453,1
MTA_501454,1
MTA_501455,1
MTA_501456,1
MTA_501457,-1
MTA_501460,-1
MTA_501462,-1
MTA_501463,-1
MTA_501464,-1
MTA_501465,-1
MTA_501466,-1
MTA_501467,-1
MTA_501468,-1
MTA_501470,-1
MTA_501471,-1
MTA_501472,-1
MTA_501473,1
MTA_501474,-1
MTA_501475,-1
MTA_501476,-1
MTA_501478,-1
MTA_501479,-1
MTA_501480,-1
MTA_501481,-1
MTA_501482,-1
MTA_501483,1
MTA_501484,1
MTA_501486,1
MTA_501487,-1
MTA_501488,-1
MTA_501489,-1
MTA_501490,-1
MTA_501492,-1
MTA_501493,-1
MTA_501496,-1
MTA_501501,0
MTA_501502,0
MTA_501503,0
MTA_501504,0
MTA_501505,0
MTA_501506,0
MTA_501507,0
MTA_501508,0
MTA_501509,0
MTA_501510,0
MTA_501511,0
MTA_501512,0
MTA_501514,-1
MTA_501516,0
MTA_501517,0
MTA_501518,0
MTA_501520,0
MTA_501622,1
MTA_501665,1
MTA_501666,1
MTA_501667,1
MTA_502145,0
MTA_503141,-1
MTA_503142,-1
MTA_503143,1
MTA_503206,0
MTA_503283,0
MTA_503932,0
MTA_503933,0
MTA_503953,0
MTA_503976,0
MTA_504001,0
MTA_504004,0
MTA_504057,1
MTA_504424,0
MTA_504436,0
MTA_504480,0
MTA_504540,0
MTA_504981,0
MTA_504995,-1
MTA_505236,0
MTA_505239,-1
